0.0	1.454391801513655e-19		0.005912	0.0060525638031141415		0.109216	0.10956434480587056
0.0	2.1243969299996215e-15		0.01448	0.014567734729452941		0.239416	0.24053097242585303
0.0	5.467081033087612e-13		0.026066	0.026002424697565307		0.39717	0.3962541293033442
0.0	2.67164553370606e-11		0.040826	0.0407494678272291		0.580024	0.5797344685508469
0.0	5.219452847267338e-10		0.059697	0.059078064080081094		0.797351	0.7932267732464556
0.0	5.677654354675489e-09		0.08096	0.08107787336018002		1.041212	1.0378560814912445
0.0	4.103241423640527e-08		0.105978	0.10662042793315785		1.309337	1.3133307857602972
1e-06	2.189537247513434e-07		0.135536	0.1353499843094068		1.617083	1.6178361260664662
2e-06	9.237412086186441e-07		0.166856	0.1667093912186267		1.948996	1.9481533567517113
3e-06	3.229812438632575e-06		0.200263	0.1999969390779318		2.30344	2.2999890752280088
6e-06	9.683141735687064e-06		0.235654	0.23444143356472402		2.67195	2.668440300813901
2e-05	2.5537115239602576e-05		0.27095	0.26927866266079037		3.055772	3.048489117962087
7.4e-05	6.0429275923157024e-05		0.301911	0.3038143206378725		3.42305	3.4354269671952156
0.000155	0.00013033869872194177		0.337203	0.3374646563421294		3.817645	3.8251446977109227
0.000217	0.00025952372216871356		0.370183	0.3697734015328854		4.214603	4.214270624100347
0.000464	0.00048205704784399286		0.400435	0.4004091177403074		4.598677	4.60017666523379
0.000813	0.0008425804329680873		0.429639	0.42914977240778784		4.980773	4.980893116311239
0.001427	0.0013959960097143522		0.456549	0.45586141403025704		5.354238	5.35497626969876
0.00217	0.0022059722480612725		0.479071	0.4804763025287685		5.714527	5.721365768934933
0.003364	0.003342331862070809		0.502518	0.5029738218956123		6.074553	6.0792567276284455
0.005075	0.004877565749780518		0.523554	0.5233656628293724		6.435275	6.427999895683723
0.006813	0.00688284711079565		0.541002	0.5416854284796351		6.754928	6.767033832246039
0.009537	0.009423981900811123		0.557639	0.5579820273836259		7.093867	7.095846773494668
0.012606	0.012557720320863011		0.572705	0.5723158772801761		7.409465	7.413962381127665
0.016055	0.016328778806858853		0.584494	0.5847569131878674		7.713408	7.720942203638434
0.020844	0.020767803845367347		0.595343	0.595383543228694		8.010913	8.016397819194836
0.025632	0.025890373860333226		0.602488	0.6042819246516202		8.282895	8.300006678073839
0.031466	0.0316970081039888		0.61231	0.6115451703306445		8.572674	8.571527157709916
0.038135	0.038174050461708076		0.617334	0.6172723007345251		8.825002	8.830809932370373
0.044746	0.04529523119273194		0.621664	0.6215669084474915		9.078998	9.077804200220342
